sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	EOL:3685	Bacillariophyta 						eaten by		EOL:52934	Pycnocentria 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:586334	Potamopyrgus antipodarum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:56567	Parochlus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:55267	Pirara 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:72562	Olinga 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:482	Chironomidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:480390	Helicopsyche albescens 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2686759	Eriopterini 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:8106901	Austroperla cyrene 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:60667	Aoteapsyche 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1158	Amphipoda 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:8106965	Acroperla 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:18153	Paralimnophila 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:4254164	Paracalliope 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:19665862	Oligochaeta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:5120096	Oligochaeta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:18319	Molophilus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:60576	Hydrobiosella 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Autrosimilium australense 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:35037	Stenelmis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:110394	Psephenus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2762862	Leucrocuta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2762844	Epeorus dispar 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1172922	Ectopria nervosa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:493217	Sphaerium occidentale 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:54681	Simulium 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Lumbriculiid oligochaete unknown long (N=ANTOCHA SAXICOLA) 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:37930	Hydropsyche 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2762498	Baetis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:875808	Antocha saxicola 											
	EOL:3685	Bacillariophyta 						eaten by		WORMS:558774	Aeolosoma 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:484273	Zelolessica cheira 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:6919817	Zelandoperla 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:593107	Olinga feredayi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:110606	Hydraena 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:53290	Zelandotipula 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Podonomid sp.(n=4) 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Tanytarsini' 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Polyped' 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Orthoclad Blue Blond' 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Orthoclad Blue Black' 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Eukief Shiny Black' 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Diamesid Blond' 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:16680184	Zephlebia spectabilis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:9021	Tanyderidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:78459	Stictocladius 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Scirtid (n=HYDORA NITIDA) 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Parachironomous sp. 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:6892142	Oniscigaster 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:78982	Neocurupira 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:615147	Hydrobiosella stenocerca 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:54823	Corynoneura 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Polyped' (n=TANYTARSINI) 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Orthoclad blue blond' (n=ORTHOCLAD BLUE BLACK) 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Orthoclad blue black' 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Large Tanytarsini' (n=TANTARSINI) 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Diamesid Brown Orange' 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type 'Diamesid blond' 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:19712309	Baraeoptera roria 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:19712257	no:match 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:19712211	Hydora nitida 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:53016	Hudsonema 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:19712209	no:match 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:16680184	Zephlebia spectabilis 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:12026817	Austroclima jollyae 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:1158	Amphipoda 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:10482179	Nesameletus ornatus 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:8106901	Austroperla cyrene 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:6973526	Paranephrops zealandicus 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:6891728	Coloburiscus humeralis 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:615147	Hydrobiosella stenocerca 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:593107	Olinga feredayi 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:586334	Potamopyrgus antipodarum 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:480390	Helicopsyche albescens 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:10822859	no:match 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:9141275	Gomphonema cf. parvulum 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:8106970	Acroperla trivacuata 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:869223	Aphrophila neozelandica 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:745749	Austrosimulium australense 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:582612	Oxyethira albiceps 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:8941720	Podaena 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:8106965	Acroperla 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:6919817	Zelandoperla 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:6892142	Oniscigaster 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:3684076	Deleatidium 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:2693261	Tanytarsini 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:2686759	Eriopterini 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:2686478	Hexatomini 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:2564270	Oligochaeta 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:1335452	Orthocladiinae 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:110606	Hydraena 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:88480	Aphrophila 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:79210	Nothodixa 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:60667	Aoteapsyche 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:60648	Pycnocentrodes 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:60576	Hydrobiosella 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:56567	Parochlus 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:55368	Naonella 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:55267	Pirara 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:54832	Cricotopus 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:54821	Eukiefferiella 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:53290	Zelandotipula 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:52934	Pycnocentria 											
	EOL:9141275	Gomphonema cf. parvulum 						interacts with		EOL:8612	Scirtidae 											
	EOL:917120	Pinnularia cf. gibba 						interacts with		EOL:917120	Pinnularia cf. gibba 											
	EOL:917120	Pinnularia cf. gibba 						interacts with		EOL:64	Lumbriculidae 											
	EOL:917120	Pinnularia cf. gibba 						eaten by		EOL:64	Lumbriculidae 											
	EOL:917120	Pinnularia cf. gibba 						eaten by		EOL:2564270	Oligochaeta 											
	EOL:12010	Chaetoceros 						eaten by		EOL:312867	Parapinnixa hendersoni 											
	EOL:12010	Chaetoceros 						eaten by		EOL:347725	Petrolisthes galathinus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1036927	Parapinnixa bouvieri 											
	EOL:12010	Chaetoceros 						eaten by		EOL:342484	Gnathophylloides mineri 											
	EOL:12010	Chaetoceros 						eaten by		EOL:4258534	Petrolisthes rosariensis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:341998	Petrolisthes jugosus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449945	Tucetona pectinata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:451954	Antillipecten antillarum 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449761	Pinna carnea 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449840	Leiosolenus appendiculatus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449856	Lithophaga nigra 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449778	Laevichlamys multisquamata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449788	Caribachlamys pellucens 											
	EOL:12010	Chaetoceros 						eaten by		EOL:448780	Ctenocardia guppyi 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449781	Caribachlamys ornata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449800	Modiolus americanus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:396002	Lima scabra 											
	EOL:12010	Chaetoceros 						eaten by		EOL:402799	Lima pellucida 											
	EOL:12010	Chaetoceros 						eaten by		EOL:451513	Lima lima 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449748	Isognomon radiatus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449746	Isognomon bicolor 											
	EOL:12010	Chaetoceros 						eaten by		EOL:440010	Chama sarda 											
	EOL:12010	Chaetoceros 						eaten by		EOL:440006	Chama macerophylla 											
	EOL:12010	Chaetoceros 						eaten by		EOL:493141	Arcopsis adamsi 											
	EOL:12010	Chaetoceros 						eaten by		EOL:452127	Arca zebra 											
	EOL:12010	Chaetoceros 						eaten by		EOL:450169	Acar domingensis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:452062	Barbatia candida 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449033	Dallocardia muricata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449038	Trachycardium isocardia 											
	EOL:12010	Chaetoceros 						eaten by		EOL:448962	Pitar fulminatus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:402697	Periglypta listeri 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449040	Papyridea soleniformis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:4767590	Lirophora paphia 											
	EOL:12010	Chaetoceros 						eaten by		EOL:492555	Fulvia laevigata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:440104	Gouldia cerina 											
	EOL:12010	Chaetoceros 						eaten by		EOL:451511	Diplodonta caelata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449305	Diplodonta punctata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449308	Diplodonta nucleiformis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:450465	Anodontia alba 											
	EOL:12010	Chaetoceros 						eaten by		EOL:450160	Anadara notabilis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:448784	Americardia media 											
	EOL:12010	Chaetoceros 						eaten by		EOL:440131	Chione cancellata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:487336	Parvilucina costata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:449183	Lucina pensylvanica 											
	EOL:12010	Chaetoceros 						eaten by		EOL:451600	Ctena orbiculata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:451597	Codakia orbicularis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:493184	Asaphis deflorata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:128047	Mysidium columbiae 											
	EOL:12010	Chaetoceros 						eaten by		EOL:38206	Clio 											
	EOL:12010	Chaetoceros 						eaten by		EOL:989577	Iciligorgia schrammi 											
	EOL:12010	Chaetoceros 						eaten by		EOL:322958	Pterogorgia guadalupensis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:322981	Pseudopterogorgia americana 											
	EOL:12010	Chaetoceros 						eaten by		EOL:322982	Pseudopterogorgia acerosa 											
	EOL:12010	Chaetoceros 						eaten by		EOL:990588	Plexaurella dichotoma 											
	EOL:12010	Chaetoceros 						eaten by		EOL:990076	Plexaura nina 											
	EOL:12010	Chaetoceros 						eaten by		EOL:991065	Plexaura homomalla 											
	EOL:12010	Chaetoceros 						eaten by		EOL:2548979	Plexaura flexuosa 											
	EOL:12010	Chaetoceros 						eaten by		EOL:993008	Muriceopsis flavida 											
	EOL:12010	Chaetoceros 						eaten by		EOL:992817	Muricea atlantica 											
	EOL:12010	Chaetoceros 						eaten by		EOL:323125	Gorgonia mariae 											
	EOL:12010	Chaetoceros 						eaten by		EOL:322270	Eunicea tourneforti 											
	EOL:12010	Chaetoceros 						eaten by		EOL:322272	Eunicea succinea 											
	EOL:12010	Chaetoceros 						eaten by		EOL:322289	Eunicea calyculata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:322288	Eunicea asperula 											
	EOL:12010	Chaetoceros 						eaten by		EOL:512446	Fritillaria haplostoma 											
	EOL:12010	Chaetoceros 						eaten by		EOL:512485	Oikopleura longicauda 											
	EOL:12010	Chaetoceros 						eaten by		EOL:512477	Oikopleura dioica 											
	EOL:12010	Chaetoceros 						eaten by		EOL:342565	Glossocephalus milneedwardsi 											
	EOL:12010	Chaetoceros 						eaten by		EOL:319699	Lestrigonus bengalensis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1024813	Brachyscelus crusculum 											
	EOL:12010	Chaetoceros 						eaten by		EOL:340372	Undinula vulgaris 											
	EOL:12010	Chaetoceros 						eaten by		EOL:340485	Paracalanus parvus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1020198	Paracalanus crassirostris 											
	EOL:12010	Chaetoceros 						eaten by		EOL:340488	Paracalanus aculeatus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1020741	Labidocera acutifrons 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1020191	Euchaeta marina 											
	EOL:12010	Chaetoceros 						eaten by		EOL:335979	Acartia lilljeborgii 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1020212	Acartia tonsa 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1020936	Acartia spinata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:340981	Microsetella rosea 											
	EOL:12010	Chaetoceros 						eaten by		EOL:339451	Centropages furcatus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:13890	Podon 											
	EOL:12010	Chaetoceros 						eaten by		EOL:338858	Penilia avirostris 											
	EOL:12010	Chaetoceros 						eaten by		EOL:2544268	Siphonodictyon 											
	EOL:12010	Chaetoceros 						eaten by		EOL:335322	Cliona vermifera 											
	EOL:12010	Chaetoceros 						eaten by		EOL:334417	Cliona tenuis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:335318	Cliona schmidti 											
	EOL:12010	Chaetoceros 						eaten by		EOL:335020	Cliona laticavicola 											
	EOL:12010	Chaetoceros 						eaten by		EOL:334452	Cliona caribbaea 											
	EOL:12010	Chaetoceros 						eaten by		EOL:336919	Pione lampa 											
	EOL:12010	Chaetoceros 						eaten by		EOL:334448	Cliona delitrix 											
	EOL:12010	Chaetoceros 						eaten by		EOL:335043	Cliona aprica 											
	EOL:12010	Chaetoceros 						eaten by		EOL:331622	Siphonodictyon brevitubulatum 											
	EOL:12010	Chaetoceros 						eaten by		EOL:338183	Xestospongia muta 											
	EOL:12010	Chaetoceros 						eaten by		WORMS:168799	Strongylacidon griseum 											
	EOL:12010	Chaetoceros 						eaten by		EOL:338240	Neopetrosia subtriangularis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:338186	Xestospongia portoricensis 											
	EOL:12010	Chaetoceros 						eaten by		WORMS:385326	Neopetrosia rosariensis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:2545701	Verongula ardis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:999560	Verongula reiswigi 											
	EOL:12010	Chaetoceros 						eaten by		EOL:999553	Verongula rigida 											
	EOL:12010	Chaetoceros 						eaten by		EOL:999561	Verongula gigantea 											
	EOL:12010	Chaetoceros 						eaten by		EOL:335743	Dictyonella arenosa 											
	EOL:12010	Chaetoceros 						eaten by		EOL:336300	Dictyonella funicularis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:331698	Tectitethya crypta 											
	EOL:12010	Chaetoceros 						eaten by		EOL:335032	Spheciospongia vesparium 											
	EOL:12010	Chaetoceros 						eaten by		EOL:14919	Spheciospongia 											
	EOL:12010	Chaetoceros 						eaten by		EOL:331880	Smenospongia aurea 											
	EOL:12010	Chaetoceros 						eaten by		EOL:999457	Aiolochroia crassa 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1162336	Petrosia pellasarca 											
	EOL:12010	Chaetoceros 						eaten by		EOL:108789	Oligoceras 											
	EOL:12010	Chaetoceros 						eaten by		EOL:538613	Neofibularia nolitangere 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1160968	Mycale laxissima 											
	EOL:12010	Chaetoceros 						eaten by		EOL:333969	Igernella notabilis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:335782	Ircinia campana 											
	EOL:12010	Chaetoceros 						eaten by		EOL:335778	Ircinia felix 											
	EOL:12010	Chaetoceros 						eaten by		EOL:539275	Iotrochota birotulata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:338089	Amphimedon erina 											
	EOL:12010	Chaetoceros 						eaten by		EOL:333646	Geodia papyracea 											
	EOL:12010	Chaetoceros 						eaten by		EOL:333587	Geodia neptuni 											
	EOL:12010	Chaetoceros 						eaten by		EOL:538768	Gelliodes ramosa 											
	EOL:12010	Chaetoceros 						eaten by		EOL:334047	Dysidea janiae 											
	EOL:12010	Chaetoceros 						eaten by		EOL:338156	Cribrochalina vasculum 											
	EOL:12010	Chaetoceros 						eaten by		EOL:338164	Cribrochalina dura 											
	EOL:12010	Chaetoceros 						eaten by		EOL:42982	Craniella 											
	EOL:12010	Chaetoceros 						eaten by		EOL:196480	Clathrina coriacea 											
	EOL:12010	Chaetoceros 						eaten by		EOL:333900	Chondrilla nucula 											
	EOL:12010	Chaetoceros 						eaten by		EOL:999558	Aplysina lacunosa 											
	EOL:12010	Chaetoceros 						eaten by		EOL:999565	Aplysina fulva 											
	EOL:12010	Chaetoceros 						eaten by		EOL:999466	Aplysina fistularis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:999482	Aplysina cauliformis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:334424	Cliona varians 											
	EOL:12010	Chaetoceros 						eaten by		EOL:34915	Cliona 											
	EOL:12010	Chaetoceros 						eaten by		EOL:332701	Agelas dispar 											
	EOL:12010	Chaetoceros 						eaten by		EOL:2908952	Amphorellopsis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:489871	Orbulina universa 											
	EOL:12010	Chaetoceros 						eaten by		EOL:2954348	Globigerinoides sacculifer 											
	EOL:12010	Chaetoceros 						eaten by		EOL:489860	Globigerina bulloides 											
	EOL:12010	Chaetoceros 						eaten by		EOL:6813488	Candorbulina 											
	EOL:12010	Chaetoceros 						eaten by		EOL:899627	Pyrodinium bahamense 											
	EOL:12010	Chaetoceros 						eaten by		EOL:901667	Prorocentrum micans 											
	EOL:12010	Chaetoceros 						eaten by		EOL:11700	Peridinium 											
	EOL:12010	Chaetoceros 						eaten by		EOL:900895	Protoperidinium divergens 										10.3354/ame036171	(Jeong et al. 2004)
	EOL:12010	Chaetoceros 						eaten by		EOL:90124	Oxytoxum 											
	EOL:12010	Chaetoceros 						eaten by		EOL:2492764	Gonyaulax tamarensis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:4817	Peridiniaceae 											
	EOL:12010	Chaetoceros 						eaten by		EOL:901398	Dinophysis caudata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:918970	Ceratium tripos 											
	EOL:12010	Chaetoceros 						eaten by		EOL:12149	Ceratium 											
	EOL:12010	Chaetoceros 						eaten by		EOL:899358	Ceratium fusus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:903700	Ceratium furca 											
	EOL:12010	Chaetoceros 						eaten by		EOL:11699	Gymnodinium 											
	EOL:12010	Chaetoceros 						eaten by		EOL:339468	Anchoa hepsetus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:339470	Anchoa lyolepis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:509402	Euphausia crystallorophias 											
	EOL:12010	Chaetoceros 						eaten by		EOL:223358	Pleuragramma antarcticum 											
	EOL:12010	Chaetoceros 						eaten by		EOL:5502	Macrouridae 											
	EOL:12010	Chaetoceros 						eaten by		EOL:25444	Chionodraco 											
	EOL:12010	Chaetoceros 						eaten by		EOL:26076	Artedidraco 											
	EOL:12010	Chaetoceros 						eaten by		EOL:453422	Limacina helicina 											
	EOL:12010	Chaetoceros 						eaten by		EOL:2571157	Clione antarctica 											
	EOL:12010	Chaetoceros 						eaten by		EOL:454008	Pelagobia longicirrata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:512046	Pseudosagitta gazellae 											
	EOL:12010	Chaetoceros 						eaten by		EOL:511931	Eukrohnia hamata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1022196	Antarctomysis ohlinii 											
	EOL:12010	Chaetoceros 						eaten by		EOL:3063623	Abyssorchomene rossi 											
	EOL:12010	Chaetoceros 						eaten by		EOL:3063906	Abyssorchomene plebs 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1000153	Hyperiella macronyx 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1021837	Hyperiella dilatata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1019034	Hyperia macrocephala 											
	EOL:12010	Chaetoceros 						eaten by		EOL:4249657	Eusirus tridentatus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:341277	Epimeriella macronyx 											
	EOL:12010	Chaetoceros 						eaten by		EOL:509467	Thysanoessa macrura 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1023919	Metaconchoecia isocheira 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1023833	Alacia belgicae 											
	EOL:12010	Chaetoceros 						eaten by		EOL:127858	Stephos longipes 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1040630	Oncaea curvata 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1023860	Oncaea antarctica 											
	EOL:12010	Chaetoceros 						eaten by		EOL:340734	Oithona similis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:341682	Oithona frigida 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1039451	Microcalanus pygmaeus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:340731	Metridia gerlachei 											
	EOL:12010	Chaetoceros 						eaten by		EOL:329892	Paraeuchaeta similis 											
	EOL:12010	Chaetoceros 						eaten by		EOL:329889	Paraeuchaeta erebi 											
	EOL:12010	Chaetoceros 						eaten by		EOL:329891	Paraeuchaeta antarctica 											
	EOL:12010	Chaetoceros 						eaten by		EOL:339080	Ctenocalanus vanus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:1023882	Calanus propinquus 											
	EOL:12010	Chaetoceros 						eaten by		EOL:10698993	Aetideopsis antarctica 											
	EOL:12010	Chaetoceros 						eaten by		EOL:509426	Euphausia superba 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:19712339	no:match 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:19712257	no:match 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:19712211	Hydora nitida 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:53016	Hudsonema 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:19712209	no:match 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:19665843	no:match 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:16680184	Zephlebia spectabilis 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:16680150	Atalophlebioides cromwelli 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:12026817	Austroclima jollyae 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:54681	Simulium 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:10482179	Nesameletus ornatus 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:8106901	Austroperla cyrene 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:6919819	Zelandoperla fenestrata 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:6892142	Oniscigaster 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:6891728	Coloburiscus humeralis 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:4254164	Paracalliope 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:3684076	Deleatidium 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:2693261	Tanytarsini 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:2686478	Hexatomini 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:2564270	Oligochaeta 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:902512	Cymbella aspera 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:593107	Olinga feredayi 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:586334	Potamopyrgus antipodarum 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:493217	Sphaerium occidentale 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:745749	Austrosimulium australense 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:582612	Oxyethira albiceps 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:110606	Hydraena 											
	EOL:902512	Cymbella aspera 						interacts with		EOL:110394	Psephenus 											
